,"last_name, first_name",player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
165,"Flaherty, Jack",656427,BAL,SL,Slider,-0.8,-5,647,24.6,187,0.339,0.558,0.41,26.5,15.0,14.9,0.326,0.521,0.393,43.6
166,"Gray, Josiah",680686,WSH,SL,Slider,0.3,2,693,24.6,187,0.239,0.405,0.33,34.8,23.5,20.8,0.256,0.431,0.345,33.6
167,"Hendricks, Kyle",543294,CHC,SI,Sinker,0.1,1,739,35.1,187,0.318,0.46,0.352,8.0,6.4,9.5,0.327,0.489,0.364,39.5
168,"Schmidt, Clarke",657376,NYY,SI,Sinker,-0.2,-2,653,24.1,187,0.288,0.447,0.361,11.0,11.2,15.7,0.308,0.492,0.374,52.0
169,"Ferguson, Caleb",657571,LAD,FF,4-Seam Fastball,-0.4,-3,708,66.5,186,0.277,0.34,0.344,26.0,24.7,22.4,0.252,0.335,0.315,42.1
170,"Taillon, Jameson",592791,CHC,FF,4-Seam Fastball,-1.1,-9,863,34.1,186,0.261,0.553,0.394,20.4,22.6,15.6,0.286,0.598,0.413,53.8
171,"Ober, Bailey",641927,MIN,CH,Changeup,1.2,8,652,28.0,185,0.226,0.35,0.268,29.8,24.9,19.6,0.225,0.346,0.263,26.7
172,"Flexen, Chris",623167,COL,FF,4-Seam Fastball,-2.9,-21,720,41.0,185,0.383,0.74,0.504,17.3,12.4,14.6,0.351,0.648,0.463,53.3
173,"Hicks, Jordan",663855,TOR,SI,Sinker,1.6,12,716,64.3,185,0.259,0.354,0.331,17.9,16.2,24.2,0.239,0.338,0.311,34.6
174,"Richards, Trevor",670950,TOR,CH,Changeup,1.0,8,765,56.6,185,0.165,0.353,0.257,47.8,42.2,26.6,0.164,0.297,0.235,24.7
175,"Vasquez, Andrew",607755,DET,SL,Slider,1.0,7,698,81.8,185,0.247,0.37,0.326,17.9,20.0,18.9,0.212,0.325,0.282,26.0
176,"Quantrill, Cal",615698,CLE,SI,Sinker,-0.1,-1,708,41.4,185,0.277,0.428,0.362,16.9,12.4,13.1,0.306,0.535,0.4,41.7
177,"Verlander, Justin",434378,HOU,SL,Slider,1.4,9,659,25.3,184,0.201,0.325,0.267,29.2,30.4,21.1,0.182,0.287,0.238,34.2
178,"Abreu, Bryan",650556,HOU,SL,Slider,2.1,15,711,58.7,184,0.185,0.302,0.27,41.3,37.0,28.6,0.2,0.345,0.28,33.3
179,"Brown, Hunter",686613,HOU,CU,Curveball,-1.6,-10,646,23.8,184,0.247,0.374,0.306,30.3,36.4,21.5,0.23,0.389,0.293,49.1
180,"Rodón, Carlos",607074,NYY,FF,4-Seam Fastball,-1.0,-7,684,60.4,184,0.294,0.55,0.392,21.7,15.8,14.2,0.283,0.548,0.388,46.7
181,"Lynn, Lance",458681,LAD,FC,Cutter,-0.9,-7,728,23.0,183,0.273,0.512,0.356,26.7,18.0,16.9,0.269,0.489,0.341,35.0
182,"Sandoval, Patrick",663776,LAA,SL,Slider,-0.6,-4,681,26.0,183,0.267,0.323,0.323,28.3,18.6,15.5,0.28,0.38,0.33,33.8
183,"Sánchez, Cristopher",650911,PHI,SI,Sinker,1.0,7,675,46.2,183,0.297,0.523,0.381,10.7,11.5,15.8,0.311,0.506,0.366,51.3
