,"last_name, first_name",player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
839,"Davies, Zach",605200,AZ,FF,4-Seam Fastball,-0.6,-2,337,22.5,77,0.21,0.355,0.338,18.1,27.3,17.5,0.213,0.455,0.356,52.4
840,"Assad, Javier",665871,CHC,FF,4-Seam Fastball,-0.1,0,332,19.4,77,0.313,0.484,0.406,19.3,18.2,15.6,0.266,0.403,0.37,41.2
841,"Gibaut, Ian",664139,CIN,FC,Cutter,1.1,4,329,27.1,77,0.29,0.435,0.349,28.0,16.9,22.4,0.259,0.418,0.326,38.6
842,"Irvin, Cole",608344,BAL,CH,Changeup,-1.3,-4,268,21.1,77,0.324,0.568,0.392,16.8,9.1,8.2,0.37,0.632,0.437,35.8
843,"Hernandez, Jose",669796,PIT,FF,4-Seam Fastball,-2.9,-8,286,33.2,77,0.322,0.729,0.505,13.7,11.7,15.5,0.304,0.647,0.456,40.4
844,"Morgan, Eli",669212,CLE,SL,Slider,-1.1,-3,302,25.2,76,0.243,0.378,0.318,36.8,25.0,20.7,0.248,0.364,0.272,29.1
845,"Falter, Bailey",663559,PIT,CU,Curveball,-2.6,-8,292,22.5,76,0.267,0.493,0.343,20.9,19.7,15.8,0.302,0.546,0.362,40.0
846,"Clarke, Taylor",664199,KC,FF,4-Seam Fastball,-1.5,-5,310,29.0,76,0.354,0.6,0.422,15.4,21.1,15.1,0.333,0.667,0.451,53.8
847,"Valdez, Framber",664285,HOU,SL,Slider,-1.4,-4,257,8.7,76,0.189,0.405,0.261,43.8,52.6,31.3,0.18,0.36,0.237,44.1
848,"Cuas, Jose",621016,CHC,SL,Slider,-3.5,-9,271,23.0,76,0.254,0.478,0.347,42.2,32.9,26.3,0.224,0.512,0.343,41.9
849,"Severino, Luis",622663,NYY,CH,Changeup,-0.8,-3,305,18.6,76,0.279,0.441,0.364,21.6,19.7,16.3,0.281,0.403,0.339,40.7
