,"last_name, first_name",player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
2742,"Bracho, Silvino",611093,CIN,SL,Slider,-3.7,-1,23,18.3,6,0.167,0.333,0.208,25.0,33.3,33.3,0.092,0.157,0.103,25.0
2743,"Erceg, Lucas",668674,OAK,FC,Cutter,-5.4,-3,47,4.5,6,0.5,0.75,0.592,40.0,33.3,10.0,0.179,0.212,0.347,0.0
2744,"Padilla, Nicholas",656820,CWS,FC,Cutter,-1.3,0,29,29.0,6,0.4,0.6,0.475,36.4,16.7,14.3,0.501,0.742,0.559,100.0
2745,"Overton, Connor",656818,CIN,FC,Cutter,-6.5,-2,25,12.5,6,0.5,1.25,0.708,0.0,0.0,,0.201,0.261,0.361,50.0
2746,"Adams, Austin",613534,AZ,FF,4-Seam Fastball,-6.9,-3,37,10.2,6,0.333,1.333,0.683,12.5,0.0,0.0,0.442,1.443,0.732,33.3
2747,"Gallen, Zac",668678,AZ,SI,Sinker,-6.7,-1,12,0.4,6,0.4,1.0,0.6,0.0,0.0,0.0,0.294,0.586,0.423,40.0
2748,"Gilbert, Tyler",656457,AZ,CU,Curveball,-4.7,-2,35,13.3,6,0.333,0.667,0.417,28.6,16.7,5.9,0.353,0.474,0.356,60.0
2749,"Waldichuk, Ken",686610,OAK,CU,Curveball,-4.7,-2,52,2.0,6,0.333,0.833,0.483,0.0,0.0,0.0,0.259,0.419,0.29,16.7
2750,"Naughton, Packy",676050,STL,SI,Sinker,5.1,1,18,26.5,6,0.167,0.333,0.208,0.0,0.0,0.0,0.351,0.691,0.435,50.0
2751,"Mariot, Michael",592527,CIN,FF,4-Seam Fastball,-14.9,-2,12,29.3,6,0.6,1.4,0.808,0.0,0.0,0.0,0.444,0.888,0.584,40.0
2752,"Wynne, Randy",691094,CIN,SI,Sinker,9.9,1,10,29.4,6,0.167,0.167,0.15,12.5,0.0,0.0,0.428,0.759,0.502,66.7
2753,"Gilbert, Tyler",656457,AZ,FS,Split-Finger,-2.6,0,19,7.2,5,0.4,0.6,0.43,33.3,0.0,0.0,0.369,0.447,0.355,40.0
2754,"Maton, Phil",664208,HOU,SI,Sinker,1.6,1,43,4.1,5,0.0,0.0,0.14,0.0,0.0,0.0,0.294,0.543,0.424,75.0
2755,"Pivetta, Nick",601713,BOS,FS,Split-Finger,-8.1,-1,11,0.5,5,0.25,1.0,0.54,16.7,20.0,12.5,0.371,1.192,0.648,66.7
2756,"Oller, Adam",670124,OAK,CH,Changeup,-9.6,-2,21,5.1,5,0.6,1.2,0.94,0.0,0.0,0.0,0.379,0.89,0.528,20.0
2757,"Eflin, Zach",621107,TB,SL,Slider,-7.4,-1,7,0.3,5,0.6,0.6,0.54,50.0,40.0,66.7,0.341,0.428,0.331,100.0
2758,"Overton, Connor",656818,CIN,ST,Sweeper,-41.5,-4,10,5.0,5,0.8,1.8,1.08,16.7,0.0,0.0,0.468,1.119,0.654,40.0
2759,"Devenski, Chris",606965,TB,ST,Sweeper,5.2,2,46,6.8,5,0.0,0.0,0.14,29.4,20.0,20.0,0.014,0.024,0.154,0.0
2760,"Long, Sam",669674,OAK,CH,Changeup,7.0,1,15,1.9,5,0.0,0.0,0.0,25.0,0.0,0.0,0.203,0.224,0.19,0.0
2761,"Hernandez, Nick",663321,SD,FF,4-Seam Fastball,-7.5,-1,17,21.0,5,0.5,0.5,0.6,0.0,0.0,0.0,0.065,0.102,0.45,0.0
2762,"Watkins, Spenser",657093,OAK,SI,Sinker,-3.3,-1,27,30.0,5,0.4,0.6,0.43,0.0,20.0,8.3,0.16,0.178,0.147,25.0
2763,"Watkins, Spenser",657093,OAK,FF,4-Seam Fastball,-2.1,0,23,25.6,5,0.5,0.75,0.57,20.0,0.0,0.0,0.579,1.25,0.748,75.0
2764,"Diekman, Jake",518617,TB,FC,Cutter,0.9,0,36,3.6,5,0.0,0.0,0.14,40.0,40.0,33.3,0.066,0.109,0.198,0.0
2765,"Hartlieb, Geoff",664129,MIA,SI,Sinker,5.9,1,24,36.4,5,0.0,0.0,0.14,14.3,20.0,25.0,0.02,0.03,0.155,0.0
2766,"Gómez, Yoendrys",672782,NYY,FF,4-Seam Fastball,8.3,1,15,50.0,5,0.0,0.0,0.0,40.0,80.0,66.7,0.002,0.007,0.004,0.0
2767,"Pallante, Andre",669467,STL,SI,Sinker,-7.5,-2,30,2.6,5,0.8,1.0,0.79,16.7,20.0,20.0,0.291,0.479,0.328,25.0
2768,"Vieira, Thyago",600986,MIL,SL,Slider,4.9,1,21,58.3,5,0.0,0.0,0.0,25.0,20.0,14.3,0.217,0.487,0.254,25.0
2769,"Burdi, Nick",595897,CHC,SL,Slider,-8.3,-1,17,29.3,5,0.4,0.6,0.43,22.2,20.0,20.0,0.271,0.367,0.273,0.0
2770,"Dubin, Shawn",681869,HOU,FC,Cutter,-1.7,0,25,14.5,5,0.2,0.4,0.25,30.8,40.0,25.0,0.028,0.033,0.029,0.0
2771,"Loáisiga, Jonathan",642528,NYY,CU,Curveball,2.4,1,34,14.4,5,0.0,0.0,0.0,37.5,20.0,6.7,0.085,0.101,0.081,0.0
2772,"Bido, Osvaldo",674370,PIT,FC,Cutter,2.4,1,32,3.4,5,0.2,0.2,0.18,38.5,20.0,14.3,0.307,0.364,0.294,25.0
2773,"Falter, Bailey",663559,PIT,FS,Split-Finger,3.7,1,31,2.4,5,0.0,0.0,0.0,33.3,40.0,22.2,0.213,0.285,0.214,33.3
2774,"Kerr, Ray",678061,SD,CH,Changeup,4.0,1,24,5.6,5,0.0,0.0,0.0,28.6,40.0,14.3,0.075,0.081,0.071,0.0
2775,"Abad, Fernando",472551,COL,CU,Curveball,2.8,1,23,16.3,5,0.25,0.25,0.32,0.0,0.0,0.0,0.427,0.616,0.496,50.0
2776,"Kriske, Brooks",621139,KC,SL,Slider,4.5,1,20,21.7,5,0.2,0.2,0.18,12.5,20.0,20.0,0.298,0.409,0.307,25.0
2777,"Rodríguez, José",642578,SEA,CH,Changeup,6.8,1,12,25.0,5,0.0,0.0,0.0,11.1,20.0,12.5,0.267,0.315,0.246,75.0
2778,"Doyle, Tommy",656382,COL,SI,Sinker,-23.9,-3,11,3.1,5,0.667,1.333,0.78,0.0,0.0,,0.521,0.695,0.587,66.7
